	num_segments	speech_seconds	num_words	video_seconds
count	1.00	1.00	1.00	1.00
mean	6.00	1.00	10.00	820.00
std
min	6.00	1.00	10.00	820.00
25%	6.00	1.00	10.00	820.00
50%	6.00	1.00	10.00	820.00
75%	6.00	1.00	10.00	820.00
max	6.00	1.00	10.00	820.00
